小学名称,年份,升学总人数,Band 1人数,Band 1比例,主要升学中学及Band信息
旅港開平商會學校,2025,96,65,67.71%,協恩中學(Band 1A):2人; 聖保羅書院(Band 1A):2人; 聖保羅男女中學(Band 1A):1人; 德望學校(Band 1A):1人; 寶血會上智英文書院(Band 1A):12人
聖安多尼學校,2025,72,49,68.06%,聖保羅男女中學(Band 1A):1人; 皇仁書院(Band 1A):1人; 英華女學校(Band 1A):10人; 英皇書院(Band 1A):2人; 聖士提反女子中學(Band 1A):2人
黃埔宣道小學,2023,120,77,64.17%,聖保羅男女中學(Band 1A):1人; 聖保祿學校(Band 1A):1人; 迦密中學(Band 1A):3人; 華英中學(Band 1A):7人; 協恩中學(Band 1A):3人
黃埔宣道小學,2024,120,74,61.67%,喇沙書院(Band 1A):1人; 聖公會林護紀念中學(Band 1A):1人; 寶血上智英文書院(Band 1A):2人; 英華書院(Band 1A):2人; 迦密中學(Band 1A):9人
黃埔宣道小學,2025,120,77,64.17%,聖士提反女子中學(Band 1A):1人; 德望學校(Band 1A):1人; 英華書院(Band 1A):2人; 寶血上智英文書院(Band 1A):1人; 迦密柏雨中學(Band 1A):1人
中西區聖安多尼學校,2024,72,43,59.72%,聖保羅男女中學(Band 1A):1人; 皇仁書院(Band 1A):1人; 英華女學校(Band 1A):6人; 英皇書院(Band 1A):2人; 聖士提反女子中學(Band 1A):4人
中西區聖安多尼學校,2025,72,49,68.06%,聖保羅男女中學(Band 1A):1人; 皇仁書院(Band 1A):1人; 英華女學校(Band 1A):10人; 英皇書院(Band 1A):2人; 聖士提反女子中學(Band 1A):2人
五旬節于良發小學,2025,120,68,56.67%,拔萃女書院(Band 1A):1人; 喇沙書院(Band 1A):1人; 協恩中學(Band 1A):1人; 迦密中學(Band 1A):1人; 迦密柏雨中學(Band 1A):1人
香港培道小學,2024,96,56,58.33%,旅港開平商會中學(Band 1A):2人; 華英中學(Band 1A):1人; 寶血會上智英文書院(Band 1A):2人; 迦密中學(Band 1A):1人; 香港培道中學(Band 1B):15人
香港培道小學,2025,96,57,59.38%,協恩中學(Band 1A):1人; 英華書院(Band 1A):1人; 瑪利諾修院學校(中學部)(Band 1A):1人; 迦密中學(Band 1A):1人; 旅港開平商會中學(Band 1A):1人
獻主會溥仁小學,2025,72,10,13.89%,中華基督教會協和書院(Band 1B):1人; 東華三院黃笏南中學(Band 1B):1人; 香港神託會培基書院(Band 1B):1人; 德愛中學(Band 1C):3人; 可立中學(Band 1C):3人
聖公會呂明才紀念小學,2023,96,50,52.08%,聖保羅男女中學(Band 1A):1人; 聖保羅書院(Band 1A):1人; 庇理羅士女子中學(Band 1A):1人; 英皇書院(Band 1A):4人; 英華女學校(Band 1A):3人
中華基督教會基灣小學,2025,96,57,59.38%,皇仁書院(Band 1A):1人; 協恩中學(Band 1A):1人; 聖保羅書院(Band 1A):1人; 英華書院(Band 1A):1人; 英皇書院(Band 1A):1人
深井天主教小學,2025,96,52,54.17%,聖保羅書院(Band 1A):1人; 德望學校(Band 1A):1人; 英華書院(Band 1A):1人; 荃灣官立中學(Band 1A):2人; 沙田崇真中學(Band 1A):1人
天水圍天主教小學,2025,120,58,48.33%,天主教崇德英文書院(Band 1A):46人; 皇仁書院(Band 1A):1人; 喇沙書院(Band 1A):1人; 華英中學(Band 1A):1人; 新界鄉議局元朗區中學(Band 1B):3人
李志達紀念學校,2025,154,85,55.19%,香港道教聯合會鄧顯紀念中學(Band 1A):16人; 港大同學會書院(Band 1A):1人; 協恩中學(Band 1A):1人; 德望學校(Band 1A):1人; 聖公會曾肇添中學(Band 1A):1人
胡素貞博士紀念學校,2024,96,67,69.79%,聖公會曾肇添中學(Band 1A):8人; 浸信會呂明才中學(Band 1A):4人; 沙田崇真中學(Band 1A):7人; 協恩中學(Band 1A):2人; 聖保羅男女中學(Band 1A):1人
胡素貞博士紀念學校,2025,96,68,70.83%,沙田崇真中學(Band 1A):5人; 聖公會曾肇添中學(Band 1A):5人; 浸信會呂明才中學(Band 1A):5人; 協恩中學(Band 1A):1人; 聖保羅書院(Band 1A):1人
樂華天主教小學,2025,96,44,45.83%,保良局第一張永慶中學(Band 1A):1人; 華英中學(Band 1A):1人; 聖言中學(Band 1A):1人; 中華基督教會協和書院(Band 1B):1人; 何明華會督銀禧中學(Band 1B):2人
聖公會基恩小學,2025,72,41,56.94%,英華女學校(Band 1A):7人; 聖士提反女子中學(Band 1A):5人; 英皇書院(Band 1A):2人; 聖保羅書院(Band 1A):1人; 聖若瑟書院(Band 1B):4人
